protein,feature_set,model,true,predicted,count
PA_polymerase,ptm_all,RandomForest,Human,Avian,10
PA_polymerase,ptm_all,RandomForest,Human,Human,116
PA_polymerase,ptm_all,RandomForest,Human,Swine,2
PA_polymerase,ptm_all,RandomForest,Swine,Avian,3
PA_polymerase,ptm_all,RandomForest,Swine,Human,31
PA_polymerase,ptm_all,RandomForest,Swine,Swine,25
PA_polymerase,ptm_plus_strain_all,RandomForest,Avian,Avian,47
PA_polymerase,ptm_plus_strain_all,RandomForest,Avian,Human,12
PA_polymerase,ptm_plus_strain_all,RandomForest,Avian,Swine,0
PA_polymerase,ptm_plus_strain_all,RandomForest,Human,Avian,9
PA_polymerase,ptm_plus_strain_all,RandomForest,Human,Human,118
PA_polymerase,ptm_plus_strain_all,RandomForest,Human,Swine,1
PA_polymerase,ptm_plus_strain_all,RandomForest,Swine,Avian,2
PA_polymerase,ptm_plus_strain_all,RandomForest,Swine,Human,32
PA_polymerase,ptm_plus_strain_all,RandomForest,Swine,Swine,25
PA_polymerase,ptm_all,LogisticReg,Avian,Avian,18
PA_polymerase,ptm_all,LogisticReg,Avian,Human,39
PA_polymerase,ptm_all,LogisticReg,Avian,Swine,2
PA_polymerase,ptm_all,LogisticReg,Human,Avian,12
PA_polymerase,ptm_all,LogisticReg,Human,Human,115
PA_polymerase,ptm_all,LogisticReg,Human,Swine,1
PA_polymerase,ptm_all,LogisticReg,Swine,Avian,4
PA_polymerase,ptm_all,LogisticReg,Swine,Human,31
PA_polymerase,ptm_all,LogisticReg,Swine,Swine,24
PA_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Avian,47
PA_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Human,12
PA_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Swine,0
PA_polymerase,ptm_plus_strain_all,LogisticReg,Human,Avian,17
PA_polymerase,ptm_plus_strain_all,LogisticReg,Human,Human,105
PA_polymerase,ptm_plus_strain_all,LogisticReg,Human,Swine,6
PA_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Avian,2
PA_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Human,32
PA_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Swine,25
PA_polymerase,ptm_fast,RandomForest,Avian,Avian,24
PA_polymerase,ptm_fast,RandomForest,Avian,Human,35
PA_polymerase,ptm_fast,RandomForest,Avian,Swine,0
PA_polymerase,ptm_fast,RandomForest,Human,Avian,51
PA_polymerase,ptm_fast,RandomForest,Human,Human,77
PA_polymerase,ptm_fast,RandomForest,Human,Swine,0
PA_polymerase,ptm_fast,RandomForest,Swine,Avian,23
PA_polymerase,ptm_fast,RandomForest,Swine,Human,36
PA_polymerase,ptm_fast,RandomForest,Swine,Swine,0
PA_polymerase,ptm_plus_strain_fast,RandomForest,Avian,Avian,53
PA_polymerase,ptm_plus_strain_fast,RandomForest,Avian,Human,0
PA_polymerase,ptm_plus_strain_fast,RandomForest,Avian,Swine,6
PA_polymerase,ptm_plus_strain_fast,RandomForest,Human,Avian,24
PA_polymerase,ptm_plus_strain_fast,RandomForest,Human,Human,0
PA_polymerase,ptm_plus_strain_fast,RandomForest,Human,Swine,104
PA_polymerase,ptm_plus_strain_fast,RandomForest,Swine,Avian,2
PA_polymerase,ptm_plus_strain_fast,RandomForest,Swine,Human,0
PA_polymerase,ptm_plus_strain_fast,RandomForest,Swine,Swine,57
PA_polymerase,ptm_fast,LogisticReg,Avian,Avian,23
PA_polymerase,ptm_fast,LogisticReg,Avian,Human,36
PA_polymerase,ptm_fast,LogisticReg,Avian,Swine,0
PA_polymerase,ptm_fast,LogisticReg,Human,Avian,52
PA_polymerase,ptm_fast,LogisticReg,Human,Human,76
PA_polymerase,ptm_fast,LogisticReg,Human,Swine,0
PA_polymerase,ptm_fast,LogisticReg,Swine,Avian,23
PA_polymerase,ptm_fast,LogisticReg,Swine,Human,36
PA_polymerase,ptm_fast,LogisticReg,Swine,Swine,0
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Avian,Avian,53
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Avian,Human,0
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Avian,Swine,6
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Avian,24
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Human,0
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Swine,104
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Avian,2
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Human,0
PA_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Swine,57
PA-X_protein,strain_only,RandomForest,Avian,Avian,12
PA-X_protein,strain_only,RandomForest,Avian,Human,8
PA-X_protein,strain_only,RandomForest,Human,Avian,11
PA-X_protein,strain_only,RandomForest,Human,Human,47
